15	9	E	-6321384.69552185	200
transitionprobs	11	7	0.007665687629124597
transitionprobs	11	8	0.08413707702703054
transitionprobs	11	9	0.017973174866894075
transitionprobs	11	10	0.15001484139330726
transitionprobs	11	11	0.6984099669275967
transitionprobs	11	12	0.030038317949103804
transitionprobs	11	13	0.002675486941104696
transitionprobs	11	14	1.9638415779976656E-7
transitionprobs	11	15	0.0
transitionprobs	12	1	0.0
transitionprobs	12	2	0.0
transitionprobs	12	3	0.0
transitionprobs	12	4	0.0
transitionprobs	12	5	0.07264012279828592
transitionprobs	12	6	0.061940393114707684
transitionprobs	12	7	0.015019732070702145
transitionprobs	12	8	0.0
transitionprobs	12	9	4.028494200971535E-5
transitionprobs	12	10	0.0
transitionprobs	12	11	0.02049834152821096
transitionprobs	12	12	0.7361566289356442
transitionprobs	12	13	0.09370449661043943
transitionprobs	12	14	0.0
transitionprobs	12	15	0.0
transitionprobs	13	1	7.520610278019808E-8
transitionprobs	13	2	0.003927929745306775
transitionprobs	13	3	0.0
transitionprobs	13	4	6.066329431732195E-4
transitionprobs	13	5	0.004653511269246463
transitionprobs	13	6	0.016785291945799776
transitionprobs	13	7	0.05637530588121568
transitionprobs	13	8	0.0
transitionprobs	13	9	0.0
transitionprobs	13	10	0.0011216947149950446
transitionprobs	13	11	0.013677953262088146
transitionprobs	13	12	0.4448085666702483
transitionprobs	13	13	0.4550147042301849
transitionprobs	13	14	0.001284380485392834
transitionprobs	13	15	0.0017439536462459991
transitionprobs	14	1	6.049618226491241E-6
transitionprobs	14	2	1.9908722943024363E-4
transitionprobs	14	3	0.0
transitionprobs	14	4	0.0
transitionprobs	14	5	0.0
transitionprobs	14	6	2.3759165592750365E-5
transitionprobs	14	7	0.0029576407388368603
transitionprobs	14	8	1.364324703080061E-4
transitionprobs	14	9	0.0030739085720760933
transitionprobs	14	10	0.0
transitionprobs	14	11	1.5572432206894435E-6
transitionprobs	14	12	0.0
transitionprobs	14	13	0.0
transitionprobs	14	14	0.9904257377284899
transitionprobs	14	15	0.0031758272338192157
transitionprobs	15	1	4.476807302484704E-4
transitionprobs	15	2	0.0012874964967924357
transitionprobs	15	3	1.012658460810021E-5
transitionprobs	15	4	0.0
transitionprobs	15	5	0.0
transitionprobs	15	6	0.002782772536900286
transitionprobs	15	7	0.0038980450589685043
transitionprobs	15	8	2.2695878383110157E-6
transitionprobs	15	9	0.005063410791893236
transitionprobs	15	10	8.850600630612826E-4
transitionprobs	15	11	0.0
transitionprobs	15	12	0.0
transitionprobs	15	13	1.0750000224426975E-4
transitionprobs	15	14	0.10431406197157718
transitionprobs	15	15	0.8812015761758679
emissionprobs	1	0	H2afz	0	0.9985085061982133
emissionprobs	1	0	H2afz	1	0.001491493801786642
emissionprobs	1	1	H3k04me1	0	0.9916611110992068
emissionprobs	1	1	H3k04me1	1	0.0083388889007931
emissionprobs	1	2	H3k09me3	0	0.9896442339876961
emissionprobs	1	2	H3k09me3	1	0.010355766012303999
emissionprobs	1	3	H3k27ac	0	0.995428429210728
emissionprobs	1	3	H3k27ac	1	0.004571570789271886
emissionprobs	1	4	H3k36me3	0	0.5283248035413114
emissionprobs	1	4	H3k36me3	1	0.47167519645868855
emissionprobs	1	5	H3k4me2	0	0.998560610428898
emissionprobs	1	5	H3k4me2	1	0.0014393895711020384
emissionprobs	1	6	H3k4me3	0	0.9977169606076167
emissionprobs	1	6	H3k4me3	1	0.0022830393923833213
emissionprobs	1	7	H3k79me2	0	0.9320972530496433
emissionprobs	1	7	H3k79me2	1	0.0679027469503567
emissionprobs	1	8	H3k9ac	0	0.9838597877819265
emissionprobs	1	8	H3k9ac	1	0.016140212218073532
emissionprobs	2	0	H2afz	0	0.9993800307157072
emissionprobs	2	0	H2afz	1	6.199692842926661E-4
emissionprobs	2	1	H3k04me1	0	0.9977877393936536
emissionprobs	2	1	H3k04me1	1	0.0022122606063463925
emissionprobs	2	2	H3k09me3	0	0.9980058355875269
emissionprobs	2	2	H3k09me3	1	0.001994164412473052
emissionprobs	2	3	H3k27ac	0	0.999109028191719
emissionprobs	2	3	H3k27ac	1	8.909718082810831E-4
emissionprobs	2	4	H3k36me3	0	0.9556339969582942
emissionprobs	2	4	H3k36me3	1	0.044366003041705925
emissionprobs	2	5	H3k4me2	0	0.9993988279743666
emissionprobs	2	5	H3k4me2	1	6.011720256334328E-4
emissionprobs	2	6	H3k4me3	0	0.9995002016186141
emissionprobs	2	6	H3k4me3	1	4.997983813859482E-4
emissionprobs	2	7	H3k79me2	0	0.9622462198137732
emissionprobs	2	7	H3k79me2	1	0.03775378018622675
emissionprobs	2	8	H3k9ac	0	0.9941731195547509
emissionprobs	2	8	H3k9ac	1	0.00582688044524915
emissionprobs	3	0	H2afz	0	0.9993928883742226
emissionprobs	3	0	H2afz	1	6.071116257774632E-4
emissionprobs	3	1	H3k04me1	0	0.9779494204032774
emissionprobs	3	1	H3k04me1	1	0.022050579596722724
emissionprobs	3	2	H3k09me3	0	0.9931685356614495
emissionprobs	3	2	H3k09me3	1	0.006831464338550436
emissionprobs	3	3	H3k27ac	0	0.9983919861899041
emissionprobs	3	3	H3k27ac	1	0.001608013810095841
emissionprobs	3	4	H3k36me3	0	0.8863404211978989
emissionprobs	3	4	H3k36me3	1	0.11365957880210112
emissionprobs	3	5	H3k4me2	0	0.9968109632686307
emissionprobs	3	5	H3k4me2	1	0.003189036731369312
emissionprobs	3	6	H3k4me3	0	0.9991242848401896
emissionprobs	3	6	H3k4me3	1	8.757151598104338E-4
emissionprobs	3	7	H3k79me2	0	0.4066548066205739
emissionprobs	3	7	H3k79me2	1	0.593345193379426
emissionprobs	3	8	H3k9ac	0	0.9930977295802575
emissionprobs	3	8	H3k9ac	1	0.006902270419742438
emissionprobs	4	0	H2afz	0	0.9959177247495038
emissionprobs	4	0	H2afz	1	0.00408227525049609
emissionprobs	4	1	H3k04me1	0	0.5308752097930194
emissionprobs	4	1	H3k04me1	1	0.46912479020698056
emissionprobs	4	2	H3k09me3	0	0.9895529013815783
emissionprobs	4	2	H3k09me3	1	0.010447098618421823
emissionprobs	4	3	H3k27ac	0	0.9120780038842589
emissionprobs	4	3	H3k27ac	1	0.08792199611574113
emissionprobs	4	4	H3k36me3	0	0.7136225312766011
emissionprobs	4	4	H3k36me3	1	0.286377468723399
emissionprobs	4	5	H3k4me2	0	0.5650588269184144
emissionprobs	4	5	H3k4me2	1	0.4349411730815856
emissionprobs	4	6	H3k4me3	0	0.9518716902517452
emissionprobs	4	6	H3k4me3	1	0.04812830974825486
emissionprobs	4	7	H3k79me2	0	0.2475704662836096
emissionprobs	4	7	H3k79me2	1	0.7524295337163904
emissionprobs	4	8	H3k9ac	0	0.941961488288335
emissionprobs	4	8	H3k9ac	1	0.058038511711664936
emissionprobs	5	0	H2afz	0	0.973158614011995
emissionprobs	5	0	H2afz	1	0.026841385988005024
emissionprobs	5	1	H3k04me1	0	0.4105766291934888
emissionprobs	5	1	H3k04me1	1	0.5894233708065112
emissionprobs	5	2	H3k09me3	0	0.9920235939157416
emissionprobs	5	2	H3k09me3	1	0.00797640608425838
emissionprobs	5	3	H3k27ac	0	0.6014743574285027
emissionprobs	5	3	H3k27ac	1	0.39852564257149725
emissionprobs	5	4	H3k36me3	0	0.8106099155382758
emissionprobs	5	4	H3k36me3	1	0.1893900844617243
emissionprobs	5	5	H3k4me2	0	0.0020816161719228545
emissionprobs	5	5	H3k4me2	1	0.9979183838280772
emissionprobs	5	6	H3k4me3	0	0.08937953505626847
emissionprobs	5	6	H3k4me3	1	0.9106204649437315
emissionprobs	5	7	H3k79me2	0	0.08404962941349162
emissionprobs	5	7	H3k79me2	1	0.9159503705865083
emissionprobs	5	8	H3k9ac	0	0.4570226073495605
emissionprobs	5	8	H3k9ac	1	0.5429773926504394
emissionprobs	6	0	H2afz	0	0.3827739326204335
emissionprobs	6	0	H2afz	1	0.6172260673795665
emissionprobs	6	1	H3k04me1	0	0.5292186895624695
emissionprobs	6	1	H3k04me1	1	0.47078131043753046
emissionprobs	6	2	H3k09me3	0	0.9543114415636205
emissionprobs	6	2	H3k09me3	1	0.0456885584363796
emissionprobs	6	3	H3k27ac	0	0.8100365307630065
emissionprobs	6	3	H3k27ac	1	0.1899634692369934
emissionprobs	6	4	H3k36me3	0	0.9752029833538816
emissionprobs	6	4	H3k36me3	1	0.024797016646118362
emissionprobs	6	5	H3k4me2	0	0.03551433708913291
emissionprobs	6	5	H3k4me2	1	0.964485662910867
emissionprobs	6	6	H3k4me3	0	0.085019040732177
emissionprobs	6	6	H3k4me3	1	0.9149809592678231
emissionprobs	6	7	H3k79me2	0	0.9182122898651618
emissionprobs	6	7	H3k79me2	1	0.08178771013483821
emissionprobs	6	8	H3k9ac	0	0.5558331434273401
emissionprobs	6	8	H3k9ac	1	0.4441668565726598
emissionprobs	7	0	H2afz	0	0.7741648690654654
emissionprobs	7	0	H2afz	1	0.22583513093453453
emissionprobs	7	1	H3k04me1	0	0.852554861149942
emissionprobs	7	1	H3k04me1	1	0.14744513885005806
emissionprobs	7	2	H3k09me3	0	0.990783591859278
emissionprobs	7	2	H3k09me3	1	0.009216408140721994
emissionprobs	7	3	H3k27ac	0	0.9841947055909936
emissionprobs	7	3	H3k27ac	1	0.015805294409006267
emissionprobs	7	4	H3k36me3	0	0.9984056658653198
emissionprobs	7	4	H3k36me3	1	0.0015943341346801388
emissionprobs	7	5	H3k4me2	0	0.634858303237115
emissionprobs	7	5	H3k4me2	1	0.3651416967628851
emissionprobs	7	6	H3k4me3	0	0.9445629277305644
emissionprobs	7	6	H3k4me3	1	0.05543707226943558
emissionprobs	7	7	H3k79me2	0	0.9754921303372219
emissionprobs	7	7	H3k79me2	1	0.02450786966277809
emissionprobs	7	8	H3k9ac	0	0.9524662524844625
emissionprobs	7	8	H3k9ac	1	0.04753374751553752
emissionprobs	8	0	H2afz	0	0.7433269811693352
emissionprobs	8	0	H2afz	1	0.2566730188306648
emissionprobs	8	1	H3k04me1	0	0.12985523123132459
emissionprobs	8	1	H3k04me1	1	0.8701447687686754
emissionprobs	8	2	H3k09me3	0	0.9950386528000076
emissionprobs	8	2	H3k09me3	1	0.004961347199992452
emissionprobs	8	3	H3k27ac	0	0.8086942947868287
emissionprobs	8	3	H3k27ac	1	0.19130570521317125
emissionprobs	8	4	H3k36me3	0	0.9967733588581416
emissionprobs	8	4	H3k36me3	1	0.0032266411418584327
emissionprobs	8	5	H3k4me2	0	0.20639343727424572
emissionprobs	8	5	H3k4me2	1	0.7936065627257542
emissionprobs	8	6	H3k4me3	0	0.8980753799942613
emissionprobs	8	6	H3k4me3	1	0.10192462000573868
emissionprobs	8	7	H3k79me2	0	0.9724207083863577
emissionprobs	8	7	H3k79me2	1	0.027579291613642302
emissionprobs	8	8	H3k9ac	0	0.9411291063281623
emissionprobs	8	8	H3k9ac	1	0.058870893671837676
emissionprobs	9	0	H2afz	0	0.9644490179997245
emissionprobs	9	0	H2afz	1	0.035550982000275545
emissionprobs	9	1	H3k04me1	0	0.5801474988577154
emissionprobs	9	1	H3k04me1	1	0.41985250114228456
emissionprobs	9	2	H3k09me3	0	0.9949042275845859
emissionprobs	9	2	H3k09me3	1	0.005095772415414206
emissionprobs	9	3	H3k27ac	0	0.980138255546433
emissionprobs	9	3	H3k27ac	1	0.01986174445356709
emissionprobs	9	4	H3k36me3	0	0.9943086133748316
emissionprobs	9	4	H3k36me3	1	0.005691386625168414
emissionprobs	9	5	H3k4me2	0	0.9773120267941185
emissionprobs	9	5	H3k4me2	1	0.02268797320588146
emissionprobs	9	6	H3k4me3	0	0.9978162058809305
emissionprobs	9	6	H3k4me3	1	0.002183794119069529
emissionprobs	9	7	H3k79me2	0	0.9789166377898508
emissionprobs	9	7	H3k79me2	1	0.021083362210149146
emissionprobs	9	8	H3k9ac	0	0.9801303451101693
emissionprobs	9	8	H3k9ac	1	0.01986965488983073
emissionprobs	10	0	H2afz	0	0.8512532377693502
emissionprobs	10	0	H2afz	1	0.1487467622306497
emissionprobs	10	1	H3k04me1	0	0.20718267498101828
emissionprobs	10	1	H3k04me1	1	0.7928173250189818
emissionprobs	10	2	H3k09me3	0	0.983047648131635
emissionprobs	10	2	H3k09me3	1	0.01695235186836494
emissionprobs	10	3	H3k27ac	0	0.1398030218333722
emissionprobs	10	3	H3k27ac	1	0.8601969781666278
emissionprobs	10	4	H3k36me3	0	0.9438880811475875
emissionprobs	10	4	H3k36me3	1	0.056111918852412526
emissionprobs	10	5	H3k4me2	0	0.57699249204588
emissionprobs	10	5	H3k4me2	1	0.42300750795411995
emissionprobs	10	6	H3k4me3	0	0.9754536307624542
emissionprobs	10	6	H3k4me3	1	0.024546369237545728
emissionprobs	10	7	H3k79me2	0	0.9164157060708507
emissionprobs	10	7	H3k79me2	1	0.08358429392914941
emissionprobs	10	8	H3k9ac	0	0.8298026875897732
emissionprobs	10	8	H3k9ac	1	0.17019731241022681
emissionprobs	11	0	H2afz	0	0.4017326993390685
emissionprobs	11	0	H2afz	1	0.5982673006609315
emissionprobs	11	1	H3k04me1	0	0.06620017487991996
emissionprobs	11	1	H3k04me1	1	0.93379982512008
emissionprobs	11	2	H3k09me3	0	0.9933861415237305
emissionprobs	11	2	H3k09me3	1	0.0066138584762695084
emissionprobs	11	3	H3k27ac	0	0.012608392265372144
emissionprobs	11	3	H3k27ac	1	0.987391607734628
emissionprobs	11	4	H3k36me3	0	0.9836829953246315
emissionprobs	11	4	H3k36me3	1	0.016317004675368535
emissionprobs	11	5	H3k4me2	0	0.0028951939969185858
emissionprobs	11	5	H3k4me2	1	0.9971048060030814
emissionprobs	11	6	H3k4me3	0	0.3402415285697969
emissionprobs	11	6	H3k4me3	1	0.659758471430203
emissionprobs	11	7	H3k79me2	0	0.9144478938514011
emissionprobs	11	7	H3k79me2	1	0.0855521061485989
emissionprobs	11	8	H3k9ac	0	0.24259398369293958
emissionprobs	11	8	H3k9ac	1	0.7574060163070604
emissionprobs	12	0	H2afz	0	0.22563768400258286
emissionprobs	12	0	H2afz	1	0.7743623159974172
emissionprobs	12	1	H3k04me1	0	0.845491708211516
emissionprobs	12	1	H3k04me1	1	0.1545082917884841
emissionprobs	12	2	H3k09me3	0	0.9937529858987644
emissionprobs	12	2	H3k09me3	1	0.006247014101235571
emissionprobs	12	3	H3k27ac	0	0.010220946696992243
emissionprobs	12	3	H3k27ac	1	0.9897790533030079
emissionprobs	12	4	H3k36me3	0	0.9992956151886253
emissionprobs	12	4	H3k36me3	1	7.043848113746293E-4
emissionprobs	12	5	H3k4me2	0	0.012651381947661267
emissionprobs	12	5	H3k4me2	1	0.9873486180523389
emissionprobs	12	6	H3k4me3	0	9.460814292906436E-149
emissionprobs	12	6	H3k4me3	1	1.0
emissionprobs	12	7	H3k79me2	0	0.5704335577465532
emissionprobs	12	7	H3k79me2	1	0.4295664422534468
emissionprobs	12	8	H3k9ac	0	1.1402968924960472E-16
emissionprobs	12	8	H3k9ac	1	0.9999999999999998
emissionprobs	13	0	H2afz	0	0.6908570289067605
emissionprobs	13	0	H2afz	1	0.30914297109323946
emissionprobs	13	1	H3k04me1	0	0.9999068509515678
emissionprobs	13	1	H3k04me1	1	9.314904843216141E-5
emissionprobs	13	2	H3k09me3	0	0.9989273687633577
emissionprobs	13	2	H3k09me3	1	0.0010726312366422515
emissionprobs	13	3	H3k27ac	0	0.1630030036627436
emissionprobs	13	3	H3k27ac	1	0.8369969963372564
emissionprobs	13	4	H3k36me3	0	0.9998776512946964
emissionprobs	13	4	H3k36me3	1	1.2234870530355364E-4
emissionprobs	13	5	H3k4me2	0	0.8518654453128109
emissionprobs	13	5	H3k4me2	1	0.14813455468718903
emissionprobs	13	6	H3k4me3	0	0.18894420616235807
emissionprobs	13	6	H3k4me3	1	0.8110557938376419
emissionprobs	13	7	H3k79me2	0	0.9299318726060646
emissionprobs	13	7	H3k79me2	1	0.07006812739393546
emissionprobs	13	8	H3k9ac	0	0.18418296924541103
emissionprobs	13	8	H3k9ac	1	0.8158170307545889
emissionprobs	14	0	H2afz	0	0.996902917463621
emissionprobs	14	0	H2afz	1	0.0030970825363789913
emissionprobs	14	1	H3k04me1	0	0.9995233772783131
emissionprobs	14	1	H3k04me1	1	4.766227216868714E-4
emissionprobs	14	2	H3k09me3	0	0.9971902974083184
emissionprobs	14	2	H3k09me3	1	0.0028097025916815825
emissionprobs	14	3	H3k27ac	0	0.9998970294127436
emissionprobs	14	3	H3k27ac	1	1.0297058725644876E-4
emissionprobs	14	4	H3k36me3	0	0.9997645901428741
emissionprobs	14	4	H3k36me3	1	2.354098571259262E-4
