State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.9573221535091577	0.033387414327091705	0.00237315749786978	0.004390820238307953	2.4335606670228722E-5	5.502651886555815E-6	0.0	0.0	7.154233003829138E-4	0.001217834265586039	0.0	0.0	0.0	1.766596480367974E-4	3.866989550103585E-4
2	0.012614014900449196	0.9677832562896461	0.005582723528581138	9.714336671273212E-4	9.046961437685644E-5	3.4874060325207215E-4	0.0	3.9811702399545484E-4	0.009134628393846043	7.359851937213869E-4	0.0	0.0	6.225921392183604E-5	0.0019369707568887267	3.4140081419393656E-4
3	0.003332654744548429	0.020329812984308734	0.9453561168618672	0.03069312205240656	1.2414124464345322E-7	0.0	0.0	0.0	1.779073163295793E-4	1.0484932172184868E-4	0.0	0.0	0.0	0.0	5.412577573035752E-6
4	0.023884331778052145	0.011513141072819562	0.11750901741503701	0.7487554391106274	0.07612995602005364	0.0021358628356725044	0.0	0.0010914439709486178	0.00813153560456399	0.010126302827450133	4.781154946603514E-4	1.1827494904353853E-4	1.26578921071237E-4	0.0	0.0
5	7.956587037935473E-5	0.0020247965651607512	0.0	0.14233899289247262	0.7482435262116074	0.002716456768478366	0.0	8.311898065924392E-4	1.6464223078486342E-7	0.0014667350658406175	0.0037977085217622644	0.09721779961160507	0.0012602656175889717	2.2798426281319892E-5	0.0
6	2.930984815615132E-4	0.013152470075540667	0.0	0.005725536572490693	0.003560041766242851	0.5220289924541601	0.24015774387050964	0.047389618111006754	0.0	0.0	0.0050408614221573765	0.12117062551648884	0.007350984243598444	0.006052294970611075	0.028077732515632055
7	0.0	0.0	0.0	0.0	0.0	0.08956172424208414	0.49650918821820994	0.013178658620634966	0.020685628508919352	1.271958101678813E-5	0.004842603520417767	0.011231883015027583	0.007918804564039499	0.34128713292024937	0.014771656809400534
8	0.0	0.006198053592514567	0.0	0.002039136751560316	0.0012142318464317388	0.023108194656394798	0.01660777093806984	0.5730497320725746	0.2916919412704387	0.0010423763958739133	0.06371878385383568	0.0	0.0	0.021329778622305957	0.0
9	0.0010623796030184876	0.03796234293433284	1.6190367431471954E-4	0.0027337723941797537	0.0	0.0	0.006607833587118675	0.06614119629188998	0.723515934137395	0.03688837616171766	0.0028801192566933467	0.0	0.0	0.11668704737302188	0.005359094586317734
10	0.008702516879727937	0.013395915989686136	5.631064871996415E-5	0.013656017227727659	0.0010791554805307027	0.0	0.0	0.0019208692358636589	0.17041327232227374	0.6664722938871608	0.12072146856548199	0.0	7.04357527096441E-5	9.10860092600763E-8	0.003511652924108493
11	0.0	9.471799514585734E-4	0.0	8.671873360977459E-4	0.004192445380731023	0.0030784382133932364	0.007665687629124597	0.08413707702703054	0.017973174866894075	0.15001484139330726	0.6984099669275967	0.030038317949103804	0.002675486941104696	1.9638415779976656E-7	0.0
12	0.0	0.0	0.0	0.0	0.07264012279828592	0.061940393114707684	0.015019732070702145	0.0	4.028494200971535E-5	0.0	0.02049834152821096	0.7361566289356442	0.09370449661043943	0.0	0.0
13	7.520610278019808E-8	0.003927929745306775	0.0	6.066329431732195E-4	0.004653511269246463	0.016785291945799776	0.05637530588121568	0.0	0.0	0.0011216947149950446	0.013677953262088146	0.4448085666702483	0.4550147042301849	0.001284380485392834	0.0017439536462459991
14	6.049618226491241E-6	1.9908722943024363E-4	0.0	0.0	0.0	2.3759165592750365E-5	0.0029576407388368603	1.364324703080061E-4	0.0030739085720760933	0.0	1.5572432206894435E-6	0.0	0.0	0.9904257377284899	0.0031758272338192157
15	4.476807302484704E-4	0.0012874964967924357	1.012658460810021E-5	0.0	0.0	0.002782772536900286	0.0038980450589685043	2.2695878383110157E-6	0.005063410791893236	8.850600630612826E-4	0.0	0.0	1.0750000224426975E-4	0.10431406197157718	0.8812015761758679
